,,,,Units,$m,$m,bps,bps,$m,$m,$m,$m,Index,Index,$m,$m,$m,$m,$m,$m,$m
,GS FICC $mn,,,Name,TRACE IG Debt,TRACE HY Debt,IG CDS Spreads,HY CDS Spreads,Primary Dealer MBS,Primary Dealer Treasuries,Primary Dealer Inventory Treasuries,Corporate & MBS Inventory,FX Volatility,US Rates Volatility,Total Debt (Global),Total Debt (US),       Corp. Investment Grade (US),       High Yield (incl. 144a) (US),       Asset Backed Securities (US),       Mortgage Backed Securities (US),Total Debt (Non-US)
3Q17,1452,,,,15406.01667,7390.0442,57.33882153,324.9538729,291082.4333,474175.4833,101916.0833,94669.7,8.042833333,50.73256667,83070.66,47637.33,27863.62,6091.78,3244.18,6719.4,35433.34
4Q17,1003,,,,14949.94897,7396.056767,51.40358943,314.6740749,318118.6833,494686.1833,100936.4667,81360.56667,7.5453,49.35426667,60673.07,37007.35,20017.87,4498.35,1847.99,6668.82,23665.73
1Q18,2074,,,,19067.188,9173.202167,56.41533333,332.161,296113.75,572394.9167,79347.81667,75813.55,7.921733333,57.9776,88958.52,45903.68,27882.56,2929.65,7975.8,6313.06,43054.84
2Q18,1679,,,,17722.54403,7196.904767,64.92733333,351.0853333,299488.65,520737.25,125825.05,76330.03333,7.7242,53.0551234,79359.64,44007.22,18260.1,3863.46,10626.64,10217.41,35352.42
3Q18,1307,,,,15894.27287,6018.493367,59.30660506,331.3038445,280369.5667,493731.6667,145136.5833,77790.06667,8.419066667,48.77668289,68131.12,37250.9,15279.95,3778.5,7262.02,6776.21,30880.22
4Q18,1087,,,,17421.37653,5980.0048,77.47190352,409.680884,312514.7,588822.7,186238.8333,93006.4,8.432,56.55969604,44428.73,24060.65,9300.71,2071.14,6751.46,5203.43,20368.08
1Q19,2238,,,,22939.56977,8113.933133,63.61366667,349.486,348581.0833,603116.5,233355.4167,88715.83333,7.723366667,50.56504795,71721.58,34498.72,19639.73,4157.81,5119.92,4196.66,37222.87
2Q19,1702,,,,19546.73383,7083.161333,60.53333333,347.053,365698.7333,594781.8333,244121.45,107779.1167,6.693633333,59.50482383,64232.22,33839.33,13768.64,6289.63,4851.97,6318.34,30392.89
3Q19,1679,,,,17829.83333,6845.078767,56.29750548,339.9838448,371207,610571.3833,227212.9833,119821.75,7.190133333,75.11598303,71301.12,35865.93,16985.62,4879.23,6903.86,5534.81,35435.19
4Q19,1769,,,,17285.39627,6307.8695,50.1740623,317.4360827,370164.3833,561247.2,229820.2667,120650.6,6.257066667,66.23774984,50733.86,27597.35,9165.24,4535.04,4146.77,8418.08,23136.51
1Q20,2969,,,,22581.96183,9952.431567,76.20733333,447.0736667,432424.6167,698704,228543.3167,113540.7833,7.460066667,82.63627136,106976.12,64643.62,44116.16,3722.44,6390.2,7648.76,42332.5
2Q20,4235,,,,25725.95627,10197.21337,80.266,561.4393333,395844.3333,658714.0833,247808.85,145877.7333,8.902733333,60.2321645,115152.59,63518.32,39359.79,11496.19,2079.52,7403.94,51634.28
3Q20,2502,,,,18287.31167,6342.665933,64.70949627,404.2601263,404765.6167,521189.7,260765.8,119477.1333,8.745833333,44.55979076,84748.23,47795.52,18355.26,9396.74,5656.53,12251.93,36952.71
4Q20,1878,,,,18553.18637,6363.4727,55.5118138,342.308284,450083.2333,549780.4833,237486.3333,109911.6167,8.214566667,48.85746905,66364.48,38481.53,14270.93,7071.91,4536.97,10428.55,27882.96
1Q21,3893,,,,24049.9199,8561.478267,55.38566667,311.9846667,471014.5833,678699.4167,204917.9,101566.5,7.6958,55.46793288,109533.59,64723.62,33438.97,9566.89,9468.01,10012.58,44809.97
2Q21,,,,,20488.98673,7016.3956,49.632,282.6903333,389847.7667,589741.6667,145344.4833,85286.86667,7.085133333,57.24740909,115597.16,68362.53,30422.61,7065.11,11566.45,15969.07,47234.63
3Q21,,,,,17705.89033,5804.0873,49.72609673,290.9753206,389256.9167,552908.5,162777.25,94357.83333,6.7097,60.00529582,85672.12,51301.31,19759.79,7073.47,8754.13,13876.68,34370.81
